Audio Resource	Text Resource	Print Arguments	Length	Text (transcribed from audio)
3075	49 3	67 10 50 25 3	16	Graham! Help me!
3076	50 0	67 -1 10 25 5	34	Graham! (cough, cough) Help... me.
3077	50 2	25 3 67 -1 10	29	Everywhere... (cough, cough).
3078			0	
3079	51 1	67 100 20 25 4	30	Help me, I'm caught! Oh, help!
3080	51 3	67 100 20 25 3	19	Well, let me see...
3081	51 4	67 100 20 25 7	45	I'm fine, Graham. Just a bit ruffled, is all.
3082	51 12	67 10 10 25 8	65	I hate to say this, Graham, but...I don't like this place at all!
3083	(rm052,rm053,rm054)		49	Come on, Graham! This place gives me the shivers!
3084	52 0	67 10 10 25 5	37	I don't like this place. It's creepy.
3085	53 1	67 10 10 25 6	59	Well, it looks like there's n-n-no way in. Let's turn back.
3086	54 0	67 10 10 25 5	33	See? Dead end! Let's go back now!
3087	54 3	67 10 10 25 7	78	You're crazy to go down into that dark hole; you don't know what's down there!
3088	54 5	67 10 10 25 5	37	No...uh, mind if I wait for you here?
3089	54 7	67 10 10 25 5	46	Yes...I'll be the lookout. Be careful, Graham!
3090	89 1	67 10 10 25 5	40	Oh, no! Watch out for the rocks, Graham!
