Audio Resource	Text Resource	Print Arguments	Length	Text (transcribed from audio)			
50	550 20		43	It won't sway the cat. Graham's in trouble!			
51	550 21		31	Don't bother the cat with THAT!			
52	550 7		33	This is no time for conversation!			
53	550 9		45	Graham wisely decides to keep his mouth shut.			
54			0				
55	(releaseGenie)		64	Graham should know better than to keep things bottled up inside!			
56	113 1		75	Many rocky islets dot the ocean just off-shore of the mountainous mainland.			
57	(owl)		69	Cedric keeps his eye on Graham while perched on a nearby tree branch.			
58	(owl)		54	Cedric keeps an eye on Graham near the town bakehouse.			
59	(owl)		41	Cedric waits for Graham in a nearby tree.			
60	(owl)		71	Cedric perches nervously on a tree limb at the edge of a gloomy forest.			
61	(owl)		57	Impatiently, Cedric watches Graham from the gnomes' roof.			
62	(owl)		77	Not being much of a honey eater, Cedric shows little interest in the beehive.			
63	(owl)		89	Cedric perches safely on a scrubby bush above the anthill and watches the activity below.			
64	(owl)		47	Cedric perches upon the "Swarthy Hog Inn" sign.			
65	(owl)		66	Even Cedric looks cold as he watches Graham traverse the icy path.			
66	(owl)		79	Shivering with the cold, Cedric seems to be a bit befuddled, and not much help.			
67	(owl)		91	Shivering with the cold, Cedric looks more than ready to leave these frozen reaches behind.			
68	(owl)		56	Cedric looks relieved to be out of those cold mountains.			
69	(owl)		48	Cedric looks with wonder at the beautiful beach.			
70	(owl)		51	Cedric seems as curious about this place as Graham.			
71	(owl)		59	Cedric looks frightened at the sight of the stone serpents.			
72	(owl)		89	Cedric looks more and more frightened the closer he and Graham get to the bizarre castle.			
73	(owl)		60	Cedric perches nervously as he surveys the surrounding area.			
74	(owl)		37	Impatiently, Cedric waits for Graham.			
75	202 1		98	Cedric is too busy looking around and doesn't seem to be paying attention to Graham at the moment.			
76	202 2		120	Cedric seems to be thinking big thoughts right now, perhaps planning their next move, and so is not in a talkative mood.			
77	202 3		91	Having other things on his mind, Cedric doesn't appear to be in the mood to talk right now.			
78	202 4		125	Cedric seems to be quietly contemplating their current situation, and so is not inclined to indulge in coversation right now.			
79			0				
80			0				
81			0				
82	0 0		86	Graham gently carries his friend Cedric, who has been wounded by the horrible harpies.			
83	0 1		111	King Graham, heavy of heart, searches far and wide for his beloved family who've been stolen by an evil wizard.			
84	(Main)		23	It is a tiny brass key.			
85	(Main)		40	Mmmmmm. The custard pie looks delicious!			
86	(Main)		30	This is a large golden needle.			
87	(Main)		31	It is but a common silver coin.			
88	(Main)		41	Whew! This smelly old fish is disgusting!			
89	(Main)		39	This is an old, tarnished brass bottle.			
90	(Main)		63	The jeweled staff is obviously the work of an expert craftsman.			
91	(Main)		57	The worn old shoe is cracked and dry from the desert sun.			
92	(Main)		37	The small heart is made of pure gold.			
93	(Main)		50	It is a small harp of beautifully carved mahogany.			
94	(Main)		24	It is a shiny gold coin.			
95	(Main)		46	The craftsmanship of the marionette is superb.			
96	(Main)		48	The small leather pouch is drawn tightly closed.			
97	(Main)		52	The leather pouch contains three beautiful emeralds.			
98	(Main)		50	The leather pouch contains two beautiful emeralds.			
99	(Main)		49	The leather pouch contains one beautiful emerald.			Green mold covers the small piece of cheese.
100	(Main)		19	The pouch is empty.			
101	(Main)		47	The trio of sparkling emeralds dazzle the eyes.			
102	(Main)		47	The pair of sparkling emeralds dazzle the eyes.			
103	(Main)		39	The sparkling emerald dazzles the eyes.			
104	(Main)		67	This appears to be a small, intricately-constructed spinning wheel.			
105	(Main)		42	It appears to be an average stick of wood.			
106	(Main)		48	Honey drips at the edges of the honeycomb chunk.			
107	(Main)		42	Graham carries a softened lump of beeswax.			
108	(Main)		43	This is a large, mouthwatering leg of lamb.			
109	(Main)		38	This is a left-over, half leg of lamb.			
110	(Main)		43	A good strong rope is a handy item to have!			
111	(Main)		59	The brilliant crystal shard feels smooth in Graham's hands.			
112	(Main)		61	A cobbler would normally use this small hammer to make shoes.			
113	(Main)		70	Graham can almost hear the ocean inside the spiral shell of the conch.			
114	(Main)		37	The bag is full of round, dried peas.			
115	(Main)		62	Graham carries a large empty bag, once occupied by dried peas.			
116	(Main)		49	It is a lovely golden locket on a delicate chain.			
117	(Main)		34	This fine cloak is thick and warm.			
118	(Main)		47	The amulet is attached to a soft leather thong.			
119	(Main)		48	The amulet glows softly with a power of its own.			
120	(Main)		58	The old wand doesn't seem to have any vitality left in it.			
121	(Main)		49	Crispin's wand glows brightly with renewed power.			
122	(Main)		35	This is a small, well-crafted sled.			
123	(Main)		65	The heavy iron bar is a bit rusted from being out in the weather.			
124	(Main)		30	This is a rusted old fishhook.			
125	(Main)		89	This is the finest pair of shoes Graham has ever seen, although a bit small for his feet.			
126	(Main)		29	It is an ordinary tambourine.			
127	(Main)		52	Mordack's wand glows brightly with restrained power.			
128	(Main)		57	Mordack's wand doesn't seem to have much life left in it.			
129	(Main)		85	The hairpin is made of a carved piece of bone with a sharp metal clip attached to it.			
130	0 9		60	Poor Cedric is hurt and needs help. How can Graham help him?			
131	(Main)		74	Upon opening the leather pouch, Graham discovers three sparkling emeralds.			
132	(Main)		26	The pouch is already open.			
133	(Main)		144	Upon opening the locket, Graham sees a portrait of an older couple in regal attire. So as not to damage the picture, he quickly closes it again.			
134	0 25		87	Graham waves Crispin's wand which now pulsates with renewed power, but nothing happens.			
135	0 20		65	Graham gives the wand a good shake, but it only fizzles and dies.			
136	(Main)		71	Having learned to play the harp long ago, Graham now plays beautifully.			
137	0 2		41	Graham is already wearing the warm cloak.			
138	0 3		61	Here, the air is too warm to be wearing heavy outer garments.			
139	(Main)		97	Graham hits and shakes the tambourine with much ruckus, but finds it doesn't accomplish anything.			
140	(Main)		101	Graham has no desire to put the dirty honeycomb in his mouth no matter how tempting the honey may be!			
141	0 4		61	Mmmmmmm! That was the best custard pie Graham has ever eaten!			
142	0 5		114	Graham finds the leg of lamb a bit tough, but tasty enough. Filling up quickly, he saves the other half for later.			
143	0 6		76	Feeling a bit hungry, Graham finishes off the other half of the leg of lamb.			
144	(Main)		53	Graham is already wearing the amulet around his neck.			
145	(Main)		158	The magic amulet begins to glow softly as Graham slips it over his head. He then carefully tucks the amulet into the front of his tunic, hiding it from sight.			
146	(Main)		39	The moldy cheese is not fit for eating.			
147	(Main)		79	Unfortunately Graham is all thumbs when it comes to operating a spinning wheel.			
148	(Main)		94	Even though these are a very fine pair of shoes, Graham finds them too small for his own feet.			
149	(Main)		36	Graham is too old to play with toys!			
150	(Main)		55	Nothing would be accomplished by using the hammer here.			
151	(Main)		75	Wearing the delicate locket would detract from Graham's "manly" appearance.			
152	(Main)		45	Graham would look silly wearing that hairpin!			
153	(Main)		52	Wearing one old shoe would do Graham no good at all!			
154	(Main)		80	The lump of beeswax has become soft and sticky from the warmth of Graham's body.			
155	(Main)		65	The smelly old fish is much too disgusting for human consumption.			
156	0 21		147	Graham waves Mordack's glowing wand...but nothing happens. Could it be that Crispin was right? That wands only respond to their owner...like a pet?			
157	0 7		64	Cedric is in too much pain to carry on a conversation right now.			
158	0 8		34	Talking to yourself again, Graham?			
159	(Main)		34	Thanks for playing King's Quest V.			
160	0 11		33	You cannot save a game right now.			
161	0 12		36	You cannot restore a game right now.			
162	1 4	#at 10 10	77	Curious, Graham gazes down into Crispin's well, but sees nothing of interest.			
163	1 6		60	The hand-hewn, wooden door is recessed within a small porch.			
164	1 8		79	Thick-paned windows adorn the small house. It is difficult to see through them.			
165	1 9		88	Nestled among the trees of the forest sits the wizard Crispin's worn, but cozy, cottage.			
166	1 10		41	A small well is located near the cottage.			
167	1 11		151	An unusual ornament decorates Crispin's front yard. Crispin being a wizard, it must have some magical significance which Graham could never understand.			
168	1 13		50	A tiny pond adds charm to Crispin's forested home.			
169	1 14		47	A small cellar door is located under the house.			
170	1 16		61	A rustic stone bridge crosses the pond below Crispin's house.			
171	1 7		42	The door to Crispin's house is now locked.			
172	2 3		171	A worn dirt path wanders through a thick wood alive with the sound of many creatures. Between the trees, to the east, Graham can see the outline of a great mountain range.			
173	2 4		60	A large, venomous snake blocks Graham's passage to the east.			
174	(rm002)		97	Graham hits and shakes the tambourine with much ruckus, but finds it doesn't accomplish anything.			
175	2 7		39	That won't convince the snake to leave.			
176	2 5		53	In silence, the large serpent eyes Graham menacingly.			
177	2 0		93	Having entered the warm valley awhile back, Graham has removed his uncomfortably heavy cloak.			
178	(rm002)		83	That wasn't wise, Graham! He who speaks with forked tongue should never be trusted.			
179	(rm003 / rm006)		69	Too bad! Graham's swimming skills were no match for the mighty river.			
180	3 2	#at 50 50	123	The quaint little town of Serenia nestles at the base of a great snowcapped mountain range which rises sharply to the east.			
181	3 3		92	A wild river tumbles down from the eastern mountains and flows swiftly below the small town.			
182	3 4		75	Any journey across the great mountains promises to be very perilous indeed.			
183	3 5		93	A rutted road leads into the town from the west while a smaller path joins it from the north.			
184	3 6		92	A small tributary of the larger river powers an old waterwheel as it flows through the town.			
185	3 7		63	Secure within a small pen, a spotted cow quietly chews her cud.			
186	3 10		52	Cedric waits for Graham just outside the small town.			
187	3 8		82	Unfortunately, the cow doesn't have anything to say. Her mouth is too full of cud.			
188			0				
189			0				
190			0				
191			0				
192	4 8	#at 20 140 #time 8	51	Inside the barrel, Graham sees an old rotting fish.			
193	4 9		44	The inside of the barrel is now quite empty.			
194	4 10		72	Quaint houses and little shops line the town's main cobblestoned street.			
195	4 11		54	A broken wagon blocks access to a smaller side street.			
196	4 13		64	A prosperous-looking tailorshop occupies the town's main corner.			
197	4 14		53	A small toyshop fronts the town's cobblestone street.			
198	4 15		61	Nearly hidden at the end of the street sits a small shoeshop.			
199	4 16		79	While blocking an alleyway, a frustrated man fixes a broken wheel on his wagon.			
200	4 19		57	Graham notices an old wooden barrel on the street corner.			
201	4 22		60	The town is busy with people going about their daily chores.			
202	4 25		87	Graham notices a shiny silver coin lying forgotten on the street near the broken wagon.			
203	4 0	#at 20 140	80	Graham leans way down into the barrel and removes...phew!...the smelly old fish.			
204	4 20		45	Graham could never carry around a big barrel.			
205	4 12		52	The cart is too heavy for Graham to move by himself.			
206			0				
207	6 2	#at 10 10	81	Suddenly, frantic squeakings alert Graham to a mangy cat chasing a terrified rat.			
208	6 4	#at 10 10	52	The cold river courses swiftly by the town bakehouse			
209	6 5	#at 10 10	67	A rutted, dirt road travels east and west beside the rushing river.			
210	6 6	#at 10 10	49	Thick, multipaned windows surround the bakehouse.			
211	6 7	#at 10 10	61	Graham spies a huge pile of logs to fuel the bakehouse ovens.			
212	6 8	#at 10 10	102	With a fine view of the rushing river, the bakehouse sits a bit out of town along an old, rutted road.			
213	6 9	#at 10 10	51	The bakehouse door beckons to all hungry travelers.			
214	6 10	#at 10 10	73	Pouncing, the scroungy cat catches a large, grey rat in its wicked claws.			
215	6 11	#at 10 10	92	Too late! The poor rat is already in the clutches of the wily cat who now runs quickly away.			
216	6 12	#at 10 10	61	Graham could never catch this mangy cat and wouldn't want to.			
217	7 7		104	Graham feels the eyes of many creatures upon him as he follows a meandering path through the thick wood.			
218	7 8		68	In a nearby tree trunk, an old wound has created a perfect birdbath.			
219	7 11		78	Upon a fallen log sits a dashing young prince who looks very sad and confused.			
220	7 14		95	What a wonderful bluebird. It could almost make Graham happy again if it wasn't for his family.			
221	7 9		47	There's nothing in the tree but a little water.			
222	7 12		101	Despite his own troubles, Graham feels sorry for the young man who obviously has troubles of his own.			
223	7 15		38	Graham could never catch the bluebird.			
224	7 13		68	The young prince is too despondent over something to even notice it.			
225	7 17		35	The bluebird doesn't care about it.			
226	7 16		56	The bluebird is too busy taking a bath to answer Graham.			
227	8 6		167	The wide dirt path ends at a crude warning sign placed before an ominous-looking forest. Beyond the sign, the path narrows to nothing more than a root-ensnarled trail.			
228	8 7		63	The sign seems self-explanatory enough: ENTER AT YOUR OWN RISK!			
229	8 10		110	Beyond the warning sign, the gnarled trees seem to close in, entangling and confusing all who dare enter here.			
230	8 11		69	An old, hollow log lies in a small clearing before the gloomy forest.			
231	8 12		59	The old log doesn't look interesting enough to bother with.			
232	8 13		50	The entrance to the elves' tunnel is left exposed.			
233	9 21		75	A lovely little pond surrounds the base of a beautiful weeping willow tree.			
234	9 22		58	There is a small pond here near the edge of a dark forest.			
235	9 23		68	To the north, Graham can see the gnarly edge of a deep, dark forest.			
236	9 25		170	A graceful weeping willow tree grows beside a small pond created from...her tears? In her branch-like arms she clutches a beautiful harp as a child would a cherished toy.			
237	9 28		56	A beautiful harp lies on the ground near the small pond.			
238	10 17		70	The entrance to the small house is through a crudely-constructed door.			
239	10 20		49	A small, shuttered window fronts the gnome house.			
240	10 22		70	Utilizing fallen logs, a gnome has built himself a little forest home.			
241	10 23		57	A young gnome happily plays with an exquisite marionette.			
242	10 25		118	An old grandfather gnome sits contentedly on an old stump and smokes a large pipe while watching his grandson at play.			
243	10 29		99	Sitting on a stool in front of his house, a young gnome happily plays with an exquisite marionette.			
244	10 33		93	In the distance to the north, Graham can see a lovely willow tree surrounded by a small pond.			
245	10 34		57	Graham can see a small pond in the distance to the north.			
246	10 15		67	Graham attempts to open the little window but finds it bolted shut.			
247	10 16		65	Graham tries to open the small door but finds it securely locked.			
248	10 21		37	The shuttered window is closed tight.			
249	10 24		40	The marionette belongs to the boy gnome!			
250	10 30		68	The young gnome is more interested in his marionette than in Graham.			
251	10 19		28	The key won't fit this lock.			
252	10 32		42	The young gnome is too bashful to respond.			
253	10 31		96	Graham attempts to speak to the young gnome but the boy seems to be very shy and doesn't answer.			
254	(rm011)		69	Too bad! Graham's swimming skills were no match for the mighty river.			
255	(rm011)		58	Tsk, tsk! Graham should know better than to feed the bear.			
256	(rm011)		51	That wasn't a smart move, Graham! "Bee" seeing you!			
257	11 10		48	The swift river turns sharply to the south here.			
258	11 11		56	A swarm of bees buzz around a hole in a rotted old tree.			
259	11 12		69	It appears the bees have a hive inside the hole of the old dead tree.			
260	11 14		59	Graham notices a huge anthill in the distance to the north.			
261	11 15		74	A large bear seems to be very interested in the honey inside the old tree.			
262			0				
263	11 22		67	Graham notices a large stick lying on the ground near the old tree.			
264	11 8		150	Graham reaches a hand into the beehive and retrieves a very sticky chunk of honeycomb. Wrapping it in a protective piece of cloth, he then pockets it.			
265	11 9		63	Graham bends down and picks up the large stick from the ground.			
266	11 13		94	Graham has already taken a honeycomb. It wouldn't be wise to antagonize the now-friendly bees.			
267	11 16		52	Graham should be very careful around a big old bear!			
268	11 20		50	It would be wise if Graham didn't bother the bees.			
269	11 17		56	The bear is too intent on the honey to listen to Graham.			
270	11 19		33	These aren't very talkative bees.			
271	11 18		41	The bear is more interested in the honey.			
272	11 21		34	The bees could care less about it.			
273	12 1	#at 20 10 #time 7	86	A bully of a dog terrorizes the poor ants as he playfully digs up their large anthill.			
274	12 11		88	A colony of large ants parade up and down a huge anthill built amid some scrubby bushes.			
275	12 15		96	A mangy old dog digs playfully at the huge anthill while the poor ants scurry about frantically.			
276	12 19		55	A gypsy wagon can be seen in the distance to the north.			
277	12 13		60	The ants don't seem to take kindly to uninvited trespassing.			
278	12 16		50	The dog doesn't seem to be a friendly sort at all!			
279	12 14		33	The ants aren't interested in it.			
280	12 18		58	That wouldn't divert the dog's attention from the anthill.			
281	12 12		60	The ants are too busy to engage in conversation with Graham.			
282	12 17		57	The dog is more interested in the anthill than in Graham.			
283	13 9		128	A gypsy wagon is encamped here at the edge of the woods. On the side of the wagon, the words "Fortune Teller" have been painted.			
284	13 10		76	The wagon door looks inviting to those who wish to have their fortunes told.			
285	13 11		68	A large ox, tied to the gypsies' wagon, peacefully munches on grass.			
286	13 15		107	Within the gypsy encampment, Graham notices a tall, burly man who keeps a suspicious eye on him and Cedric.			
287	13 21		94	The dark gypsy man bars Graham's entry into the fortune teller's wagon without proper payment.			
288	13 22		74	A steaming pot of stew bubbles over a small campfire near the gypsy wagon.			
289	13 24		58	Graham notices a grassy clearing at the edge of the woods.			
290	13 25		68	A tambourine lies on the ground near the abandoned gypsy encampment.			
291	13 8		84	Not seeing the tambourine's owner, Graham bends down and rescues it from the ground.			
292	13 12		53	Graham finds the huge beast completely uninteresting.			
293	13 16		56	The burly man keeps a watchful eye on Graham and Cedric.			
294	13 23		62	Obviously, the man wouldn't tolerate Graham taking his supper.			
295	13 13		79	The ox's mouth is too full of grass to even attempt a conversation with Graham!			
296	13 19		57	The sullen man doesn't look like the conversational sort.			
297	13 14		56	The ox is not interested in any of Graham's possessions.			
298	14 0		174	The scraggly bushes of the dry brushland taper off to hot, sandy desert as far as the eye can see to the west. To the east, Graham can see the sparse edge of Serenia's woods.			
299	14 1		98	Beyond the large boulders, Graham can see the dry brushland extending to the north for many miles.			
300	14 2		56	The woods meet the desert here in the scrubby brushland.			
301	14 3		85	A rocky cliff ending in a string of huge boulders blocks further travel to the north.			
302	14 4		88	In the distance to the north, rocky cliffs loom like sentinels across the barren desert.			
303	14 5		41	It looks like something may be after him.			
304			0				
305	15 4		168	All around him, Graham sees nothing but more desert. How much farther can he go on? Thankfully, though, a nearby pool of water can relieve Graham's overwhelming thirst.			
306	15 5		142	The scorching sun burns down on the dry desert as Graham struggles through the hot sand. He looks around, but all he can see is...more desert!			
307	15 6		159	Oh, oh! A picked-clean and sun-bleached skeleton lies in the sand of the hot, dry desert. What happened? Who can say...but it makes Graham uneasy nevertheless.			
308	15 9		52	An old shoe lies, forgotten, near the poor skeleton.			
309	15 10		46	A rope and water basket sit near a small well.			
310	15 12		125	A small oasis! Its tantalizing water, so sparkling in the desert sun! Graham's hot, thirsty body is irresistibly drawn to it.			
311	15 2 / 216 3		104	Ah! Life-giving water! Nectar of the gods! Graham can now feel strength and renewal flowing through him.			
312	15 7		63	Graham can't do much to help the poor man now...and vice versa!			
313	n/a		68	Since Graham has just taken a drink, he's not thirsty at the moment.			
314	15 8		41	Well, it's too late for conversation now!			
315	15 0		88	The hot sun and choking sands are taking their toll on Graham. He must drink...and soon!			
316	15 1	#at 20 20 #dispose	114	Too late! Graham collapses and dies of extreme thirst in the hot desert sun. If only he could have found an oasis!			
317	(rm015)		26	DYING for a drink, Graham?			
318	(rm017)		49	That wasn't a very smart move for Graham to make!			
319	17 1		89	Taking care to be very quiet, Graham reaches out and takes the staff into his possession.			
320	17 4		44	Graham should avoid the bandit at all costs!			
321	17 5		131	Assorted odds and ends clutter the inside of this small tent while upon a lovely carpet sleeps another of the despicable renegades.			
322	17 6		61	Assorted odds and ends clutter the inside of this small tent.			
323	17 2		81	A jeweled staff, leaning against the back of the tent, catches Graham's interest.			
324	17 3		62	Snoring loudly upon a beautiful carpet lies a sleeping bandit.			
325	18 4		57	Near the temple door sits an old, tarnished brass bottle.			
326	18 5		93	A single gold coin, separated from the rest of the treasure, lies on the floor near the door.			
327	18 6		131	Treasure! Treasure piled everywhere! The sparkling brilliance of it overwhelms Graham as he peers around the temple's dim interior.			
328	18 0		76	Bending down, Graham hurriedly picks up the gold coin from the temple floor.			
329	18 2		43	Quickly, Graham grabs the old brass bottle.			
330	18 1	#at 10 10 #dispose	39	Hurry! The exit door is about to close!			
331	(rm018)		69	Cheer up, Graham. At least you can practice your game of tiddlywinks!			
332	18 3		50	Don't waste time! The door may close any time now!			
333	19 0		111	Numerous roots, rocks, and ruts choke the narrow forest path which branches either to the right or to the left.			
334	19 1		143	Ensnarling roots, creeping vines, decaying logs, and twisted, gnarled trees...the close feeling of the gloomy forest quickly overwhelms Graham.			
335	20 0		102	The rocky, rutted footpath staggers its way through the oppressive forest to the north or to the west.			
336	20 1		152	The pervasive gloom of the forest settles around Graham like a tight, suffocating blanket. Everywhere he can hear the eerie sounds of strange creatures.			
337	20 2		68	There seems to be an unusually large number of toads in this forest.			
338	20 3		40	These toads look too repulsive to catch!			
339	21 0		72	Graham tugs firmly at the door in the tree but finds it securely locked.			
340	21 3		84	Reaching in to the little door of the tree, Graham extracts the little golden heart.			
341	21 1		61	Graham finds that the little key fits perfectly in this lock.			
342	21 2		88	Graham is charmed to find a little golden heart inside the door of the twisted old tree.			
343	21 8		32	The little door is already open.			
344	21 9		34	It won't help with the small door.			
345	21 4		83	A slimy path leads from the forest floor up to the base of a large, misshapen tree.			
346	21 5		80	A crude little door has been built into the trunk of this large, grotesque tree.			
347	21 6		86	A small door built into the trunk of a large, twisted tree catches Graham's attention.			
348	21 7		57	There is nothing else inside the little door of the tree.			
349	(rm022)		45	Oh, oh! Watch out for those drop-offs Graham!			
350	22 0		30	The door appears to be locked.			
351			0				
352	22 1		177	A crude, misshapen structure, which remotely resembles a house, sits forlornly in the center of the gloomy forest. A crevasse spewing hot steam and licks of flames surrounds it.			
353	22 2		127	A grotesque bridge of rib-like bones crosses the hot crevasse where a path continues to the front door of the odd little house.			
354	22 3		76	The path seems to dwindle down to nothing as it nears the strange structure.			
355	22 4		82	Spitting hot steam and flames, a deep crevasse surrounds the strange little house.			
356	22 5		38	A small door fronts the odd structure.			
357	22 6		94	The dark forest seems to encase the witch's bizarre little house like a claustrophobic shroud.			
358	23 5		112	A set of stone steps, much to narrow for Graham's larger body, wind precariously upward in the back of the room.			
359	23 7		111	Graham spies a small drawer built into the trunk of a tree which pokes awkwardly through the wall of the house.			
360	23 9		169	The old witch's house has been crudely fashioned from an old tree trunk and salvaged stone. Being cold and creepy, Graham finds he would just as soon hurry up and leave.			
361	23 10		113	Tucked under a large crack in the wall which seems to serve as a window, Graham sees an interesting wooden trunk.			
362	23 0	#at 120 140	59	A small, intricate spinning wheel is put away in the trunk.			
363	23 12		116	An interesting incense burner hangs from a protruding tree branch. Occasionally, from within it, a tiny glint winks.			
364	23 13		66	An interesting incense burner hangs from a protruding tree branch.			
365	23 2	#at 20 140	51	A small leather pouch is tucked away in the drawer.			
366	23 1	#at 90 140	74	Reaching a hand into the trunk, Graham retrieves the small spinning wheel.			
367	23 6		69	The winding steps are much too narrow for Graham to ever fit through.			
368	23 8		40	There is nothing else inside the drawer.			
369	23 11		23	The trunk is now empty.			
370	23 14		32	The incense burner is now empty.			
371	24 11		80	From here, the narrow rocky path leads east and south through the gloomy forest.			
372	24 12		145	Strange plants and animals inhabit this dark and dreary place while thin rays of sunlight barely break the surface of the forest's thick foliage.			
373	24 13		125	Peering curiously at him through the heavy foliage of the dark forest, Graham notices several pairs of bright, blinking eyes.			
374	24 22		44	A sticky puddle of honey lies on the ground.			
375	24 23		62	A large rock-like creature blocks further passage to the west.			
376	24 24		65	Rocky has moved aside to allow Graham passage through the forest.			
377	24 14		89	Graham can plainly SEE the eyes, but he can't quite reach them through the thick foliage.			
378	24 25		55	The rock-like creature is not inclined to move farther.			
379	24 0		94	This situation seems to require very careful thought. Graham needs to spend more time on this.			
380	24 1		250	Graham squeezes the honeycomb as hard as he can, which causes the honey to drip out of it onto the ground creating a sticky little "puddle" at his feet. Now all that's left of the honeycomb is a piece of beeswax, which Graham puts back in his pocket.			
381	24 20		84	Graham decides to wait until he sees a good reason to toss away these fine emeralds.			
382	24 21		73	The small creatures, whoever they are, don't seem to be interested in it.			
383	24 18		26	Graham receives no answer.			
384	24 19		71	Whoever is watching Graham is unwilling to indulge in any conversation.			
385	24 26		28	Rocky isn't talking anymore.			
386	25 0		111	A path, tangled with roots and vines, leads to the north and east through the dense foliage of the dark forest.			
387	25 1		103	Unseen eyes seem to watch Graham as he stumbles confusedly through the thick maze of the gloomy forest.			
388	26 0		93	A root-rutted path stumbles its way east, west, and north through the dark and gloomy forest.			
389	26 1		93	Through the mists of the forest, Graham can barely see a small, house-like form to the north.			
390	26 2		87	The dark forest seems to close in on Graham as he tentatively makes his way through it.			
391	27 9		65	Narrowing to the west, the dirt road widens as it heads eastward.			
392	27 10		57	The brisk river rushes swiftly by the quaint country inn.			
393	27 11		57	A large haystack dominates the area in front of the barn.			
394	27 12		61	An old, uninteresting barn is located behind the country inn.			
395	27 14		83	Just off a rutted dirt road, a country inn overlooks the picturesque rushing river.			
396	27 15		55	Weary travelers can enter through the inn's front door.			
397	27 16		43	This is a side entrance of the country inn.			
398	27 2		24	The side door is locked.			
399	27 13		55	Graham can see an unbreakable padlock on the barn door.			
400	27 3	#at 20 20 #width 270 #dispose	110	Graham watches with surprise as a contingent of ants marches into the haystack and begins to swarm through it.			
401	27 4		87	Carefully, Graham searches through the haystack but doesn't see anything of importance.			
402	27 1		28	The key won't fit this lock.			
403	28 0		72	Finding the kitchen door locked, Graham unlocks it before going outside.			
404	28 1	#at 10 10	54	There is nothing else of interest inside the cupboard.			
405	28 2	#at 10 10	60	Inside the cupboard, Graham sees a large, juicy leg of lamb.			
406	28 4		76	Graham looks around the inn's kitchen and finds it rather sparse and untidy.			
407	28 5		39	It appears that the door leads outside.			
408	28 6		70	The sound of men talking and laughing loudly floats through this door.			
409	28 7		65	In the corner of the room, Graham spies a large kitchen cupboard.			
410	29 0		58	Graham begins to shiver at the sudden drop in temperature.			
411	29 4		0				
